LOCATION,SUBURB,Reason Code,Audit Date,full_location,row_index,index,longitude,latitude,corrected address,extracted_on
Hertford Road,SUNSHINE,BC,Jul-2018,"Hertford Road, SUNSHINE",646,646.0,144.839737,-37.7820326999999,"Hertford Rd, Sunshine VIC 3020, Australia",2018-August-06
Hidden Valley Boulevard,WALLAN,BC,Apr-2018,"Hidden Valley Boulevard, WALLAN",647,647.0,144.9903551,-37.3952162,"Hidden Valley Blvd, Wallan VIC 3756, Australia",2018-August-06
High Street,ARARAT,AC,Jul-2018,"High Street, ARARAT",648,648.0,142.9356096,-37.2829155,"High St, Ararat VIC 3377, Australia",2018-August-06
High Street,BROADFORD,C,Apr-2018,"High Street, BROADFORD",649,649.0,145.0499915,-37.2026357,"High St, Broadford VIC 3658, Australia",2018-August-06
High Street,DONCASTER,C,May-2018,"High Street, DONCASTER",650,650.0,145.1134694,-37.7779497,"High St, Doncaster VIC 3108, Australia",2018-August-06
High Street,EILDON,B,Apr-2018,"High Street, EILDON",651,651.0,145.9082263,-37.2320985,"High St, Eildon VIC 3713, Australia",2018-August-06
High Street,GLEN IRIS,C,Jul-2018,"High Street, GLEN IRIS",652,652.0,145.0649059,-37.8616983,"High St, Glen Iris VIC 3146, Australia",2018-August-06
High Street,KEW,C,May-2018,"High Street, KEW",653,653.0,145.043409,-37.8022475,"High St, Kew VIC 3101, Australia",2018-August-06
High Street,RESERVOIR,AC,Apr-2018,"High Street, RESERVOIR",654,654.0,145.0083606,-37.7120745,"High St, Reservoir VIC 3073, Australia",2018-August-06
High Street,SEYMOUR,C,Apr-2018,"High Street, SEYMOUR",655,655.0,145.1386424,-37.0201017,"High St, Seymour VIC 3660, Australia",2018-August-06
High Street,TEMPLESTOWE,C,May-2018,"High Street, TEMPLESTOWE",656,656.0,145.1193037,-37.7635728,"High St, Templestowe VIC 3106, Australia",2018-August-06
High Street Road,MOUNT WAVERLEY,C,May-2018,"High Street Road, MOUNT WAVERLEY",657,657.0,145.1281293,-37.8698331,"High St Rd, Mount Waverley VIC 3149, Australia",2018-August-06
High Street Road,WANTIRNA SOUTH,AC,Jan-2018,"High Street Road, WANTIRNA SOUTH",658,658.0,145.2192113,-37.8769211,"High St Rd, Wantirna South VIC 3152, Australia",2018-August-06
Highbury Road,GLEN WAVERLEY,C,May-2018,"Highbury Road, GLEN WAVERLEY",659,659.0,145.1691604,-37.8620116,"Highbury Rd, Glen Waverley VIC 3150, Australia",2018-August-06
Highbury Road,MOUNT WAVERLEY,C,May-2018,"Highbury Road, MOUNT WAVERLEY",660,660.0,145.1310476,-37.857504,"Highbury Rd, Mount Waverley VIC 3149, Australia",2018-August-06
Highett Road,HIGHETT (SBY),ABCD,Mar-2018,"Highett Road, HIGHETT (SBY)",661,661.0,145.033568,-37.94776,"Highett Rd, Highett VIC 3190, Australia",2018-August-06
Highett Road,HIGHETT (SMB),A,Mar-2018,"Highett Road, HIGHETT (SMB)",662,662.0,145.033568,-37.94776,"Highett Rd, Highett VIC 3190, Australia",2018-August-06
Highlands Road,SEYMOUR,ABC,Apr-2018,"Highlands Road, SEYMOUR",663,663.0,145.1920155,-37.0258701,"Highlands Rd, Seymour VIC 3660, Australia",2018-August-06
Highton Lane,MANSFIELD,BC,Apr-2018,"Highton Lane, MANSFIELD",664,664.0,146.0943139,-37.0673577,"Highton Ln, Mansfield VIC 3722, Australia",2018-August-06
Hilma Street,SUNSHINE WEST,C,Jul-2018,"Hilma Street, SUNSHINE WEST",665,665.0,144.7977742,-37.7910289,"Hilma St, Sunshine West VIC 3020, Australia",2018-August-06
Hodder Street,BRIGHTON EAST,AC,Jun-2018,"Hodder Street, BRIGHTON EAST",666,666.0,145.0227857,-37.9057885,"Hodder St, Brighton East VIC 3187, Australia",2018-August-06
Hoffmans Road,NIDDRIE,C,Dec-2017,"Hoffmans Road, NIDDRIE",667,667.0,144.8914436,-37.7433204,"Hoffmans Rd, Niddrie VIC 3042, Australia",2018-August-06
Holmes Street,BRUNSWICK,C,Dec-2017,"Holmes Street, BRUNSWICK",668,668.0,144.9744356,-37.7592182,"Holmes St, Victoria, Australia",2018-August-06
Homestead Road,BERWICK,B,Jul-2018,"Homestead Road, BERWICK",669,669.0,145.3285918,-38.0543565,"Homestead Rd, Berwick VIC 3806, Australia",2018-August-06
Hopetoun Road,TOORAK,BC,Jul-2018,"Hopetoun Road, TOORAK",670,670.0,145.0282675,-37.8476025999999,"Hopetoun Rd, Toorak VIC 3142, Australia",2018-August-06
Hopkins Highway,GRASSMERE,BC,Apr-2018,"Hopkins Highway, GRASSMERE",671,671.0,142.5654712,-38.2983015,"Hopkins Hwy, Grassmere VIC 3281, Australia",2018-August-06
Hopkins Highway,PURNIM,C,Apr-2018,"Hopkins Highway, PURNIM",672,672.0,142.6095387,-38.2805427,"Hopkins Hwy, Purnim VIC 3278, Australia",2018-August-06
Hopkins Point Road,WARRNAMBOOL,BC,Apr-2018,"Hopkins Point Road, WARRNAMBOOL",673,673.0,142.5334015,-38.4017444,"Hopkins Pnt Rd, Warrnambool VIC 3280, Australia",2018-August-06
Horseshoe Bend Road,MOUNT DUNEED,BC,Apr-2018,"Horseshoe Bend Road, MOUNT DUNEED",674,674.0,144.3507666,-38.250549,"Horseshoe Bend Rd, Mount Duneed VIC 3217, Australia",2018-August-06
Horseshoe Bend Road,TORQUAY,BC,Apr-2018,"Horseshoe Bend Road, TORQUAY",675,675.0,144.3412952,-38.3001666,"Horseshoe Bend Rd, Torquay VIC 3228, Australia",2018-August-06
Hosie Road,SHEPPARTON EAST,B,Apr-2018,"Hosie Road, SHEPPARTON EAST",676,676.0,145.5019394,-36.3990373,"Hosie Rd, Shepparton East VIC 3631, Australia",2018-August-06
Howard Street,EPSOM (WBI),ACD,Jun-2018,"Howard Street, EPSOM (WBI)",677,677.0,144.3101991,-36.7044307,"Howard St, Epsom VIC 3551, Australia",2018-August-06
Howard Street,WARRNAMBOOL,C,Apr-2018,"Howard Street, WARRNAMBOOL",678,678.0,142.489798,-38.3769226,"Howard St, Warrnambool VIC 3280, Australia",2018-August-06
Hughes Street,OUYEN,C,Jun-2018,"Hughes Street, OUYEN",679,679.0,142.3253405,-35.0712093,"Hughes St, Ouyen VIC 3490, Australia",2018-August-06
Hull Road,CROYDON,AC,Feb-2018,"Hull Road, CROYDON",680,680.0,145.3004462,-37.7942697,"Hull Rd, Croydon VIC 3136, Australia",2018-August-06
Hume Drive,SYDENHAM,ABC,Jul-2018,"Hume Drive, SYDENHAM",681,681.0,144.7683511,-37.7097607,"Hume Dr, Sydenham VIC 3037, Australia",2018-August-06
Hume Drive,TAYLORS HILL,BC,Apr-2018,"Hume Drive, TAYLORS HILL",682,682.0,144.7535336,-37.7108435,"Hume Dr, Taylors Hill VIC 3037, Australia",2018-August-06
