ROW_INDEX,LOCATION,SUBURB,Reason Code,Audit Date,full_location
312,Coleraine-Balmoral Road,BALMORAL,C,May-2018,"Coleraine-Balmoral Road, BALMORAL, VICTORIA, AUSTRALIA"
313,Commercial Street,MERBEIN,BC,Jun-2018,"Commercial Street, MERBEIN, VICTORIA, AUSTRALIA"
314,Como Parade West,PARKDALE,C,Jun-2018,"Como Parade West, PARKDALE, VICTORIA, AUSTRALIA"
315,Cookes Road,DOREEN,BC,Apr-2018,"Cookes Road, DOREEN, VICTORIA, AUSTRALIA"
316,Coolart Road,BITTERN,BC,May-2018,"Coolart Road, BITTERN, VICTORIA, AUSTRALIA"
317,Coolart Road,MOOROODUC,AC,May-2018,"Coolart Road, MOOROODUC, VICTORIA, AUSTRALIA"
318,Cooper Street,SOMERTON,ABC,Dec-2017,"Cooper Street, SOMERTON, VICTORIA, AUSTRALIA"
319,Coppards Road,MOOLAP,BC,Apr-2018,"Coppards Road, MOOLAP, VICTORIA, AUSTRALIA"
320,Coppards Road,NEWCOMB,C,Apr-2018,"Coppards Road, NEWCOMB, VICTORIA, AUSTRALIA"
321,Copperfield Drive,DELAHEY,BC,Jul-2018,"Copperfield Drive, DELAHEY, VICTORIA, AUSTRALIA"
322,Cornhill Street,FERNTREE GULLY,BC,Jan-2018,"Cornhill Street, FERNTREE GULLY, VICTORIA, AUSTRALIA"
323,Cornwall Road,SUNSHINE,ABC,Jul-2018,"Cornwall Road, SUNSHINE, VICTORIA, AUSTRALIA"
324,Corrigan Road,KEYSBOROUGH,C,Apr-2018,"Corrigan Road, KEYSBOROUGH, VICTORIA, AUSTRALIA"
325,Corrigan Road,NOBLE PARK,C,Apr-2018,"Corrigan Road, NOBLE PARK, VICTORIA, AUSTRALIA"
326,Coulstock Street,WARRNAMBOOL,C,Apr-2018,"Coulstock Street, WARRNAMBOOL, VICTORIA, AUSTRALIA"
327,Cowra Avenue,IRYMPLE,ABC,Jun-2018,"Cowra Avenue, IRYMPLE, VICTORIA, AUSTRALIA"
328,Craig Road,CRANBOURNE SOUTH,B,Jul-2018,"Craig Road, CRANBOURNE SOUTH, VICTORIA, AUSTRALIA"
329,Craig Road,DONVALE,C,May-2018,"Craig Road, DONVALE, VICTORIA, AUSTRALIA"
330,Craigie Road,MOUNT MARTHA,C,May-2018,"Craigie Road, MOUNT MARTHA, VICTORIA, AUSTRALIA"
331,Craigieburn Road,CRAIGIEBURN,AC,Dec-2017,"Craigieburn Road, CRAIGIEBURN, VICTORIA, AUSTRALIA"
332,Craigieburn Road,WOLLERT,AC,Apr-2018,"Craigieburn Road, WOLLERT, VICTORIA, AUSTRALIA"
333,Cramer Street,WARRNAMBOOL,C,Apr-2018,"Cramer Street, WARRNAMBOOL, VICTORIA, AUSTRALIA"
334,Cranbourne-Frankston Road,CRANBOURNE,ABC,Jul-2018,"Cranbourne-Frankston Road, CRANBOURNE, VICTORIA, AUSTRALIA"
335,Cranbourne-Frankston Road,LANGWARRIN,ABC,May-2018,"Cranbourne-Frankston Road, LANGWARRIN, VICTORIA, AUSTRALIA"
336,Cravens Road,MERNDA,BC,Apr-2018,"Cravens Road, MERNDA, VICTORIA, AUSTRALIA"
