LOCATION,SUBURB,Reason Code,Audit Date,full_location,row_index,longitude,latitude,corrected address,extracted_on,inside_victoria_bounds
Kirkton Drive,KURUNJANG,BC,Apr-18,"Kirkton Drive, KURUNJANG",758,144.5930189,-37.6644316,"Kirkton Dr, Kurunjang VIC 3337, Australia",2018-August-06,TRUE
Knight Street,MOOROOPNA,C,Apr-18,"Knight Street, MOOROOPNA",759,145.3494736,-36.3876317,"Knight St, Mooroopna VIC 3629, Australia",2018-August-06,TRUE
Kobyboyn Road,SEYMOUR,ABC,Apr-18,"Kobyboyn Road, SEYMOUR",760,145.1926539,-37.0402874,"Kobyboyn Rd, Seymour VIC 3660, Australia",2018-August-06,TRUE
Koo Wee Rup-Longwarry Road,BAYLES,B,May-18,"Koo Wee Rup-Longwarry Road, BAYLES",761,145.5851627,-38.1809808,"Koo Wee Rup-Longwarry Rd, Bayles VIC 3981, Australia",2018-August-06,TRUE
Koonoomoo Road,COBRAM,C,Apr-18,"Koonoomoo Road, COBRAM",762,145.6080239,-35.9030717,"Cobram-Koonoomoo Rd, Victoria 3644, Australia",2018-August-06,TRUE
Koorlong Avenue,IRYMPLE,C,Jun-18,"Koorlong Avenue, IRYMPLE",763,142.1811057,-34.2269676,"Koorlong Ave, Irymple VIC 3498, Australia",2018-August-06,TRUE
Kooyong Road,CAULFIELD NORTH,C,Jun-18,"Kooyong Road, CAULFIELD NORTH",764,145.0179582,-37.8707764,"Kooyong Rd, Caulfield North VIC 3161, Australia",2018-August-06,TRUE
Kooyong Road,CAULFIELD SOUTH,C,Jun-18,"Kooyong Road, CAULFIELD SOUTH",765,145.0136356,-37.8930953,"Kooyong Rd, Caulfield South VIC 3162, Australia",2018-August-06,TRUE
Kororoit Creek Road,ALTONA,C,Feb-18,"Kororoit Creek Road, ALTONA",766,144.82496,-37.8490606,"Kororoit Creek Rd, Altona VIC 3018, Australia",2018-August-06,TRUE
Kororoit Creek Road,WILLIAMSTOWN NORTH,C,Feb-18,"Kororoit Creek Road, WILLIAMSTOWN NORTH",767,144.8707052,-37.8558952,"Kororoit Creek Rd, Williamstown North VIC 3016, Australia",2018-August-06,TRUE
Korumburra-Warragul Road,WARRAGUL SOUTH,BC,Apr-18,"Korumburra-Warragul Road, WARRAGUL SOUTH",768,145.9190599,-38.2115654,"Korumburra-Warragul Rd, Warragul South VIC 3821, Australia",2018-August-06,TRUE
Kulkyne Way,IRAAK,AC,Jun-18,"Kulkyne Way, IRAAK",769,142.3086659,-34.4253014,"Kulkyne Way, Iraak VIC 3494, Australia",2018-August-06,TRUE
Kulkyne Way,KARADOC,ABC,Jun-18,"Kulkyne Way, KARADOC",770,142.2464109,-34.3419976,"544 Kulkyne Way, Red Cliffs VIC 3496, Australia",2018-August-06,TRUE
Kulkyne Way,NANGILOC,C,Jun-18,"Kulkyne Way, NANGILOC",771,142.3619743,-34.4798013,"Kulkyne Way, Nangiloc VIC 3494, Australia",2018-August-06,TRUE
Kurrak Road,YARRAMBAT,BC,Jul-18,"Kurrak Road, YARRAMBAT",772,145.1110358,-37.6509239,"Kurrak Rd, Yarrambat VIC 3091, Australia",2018-August-06,TRUE
Kyneton-Trentham Road,TRENTHAM,BC,Apr-18,"Kyneton-Trentham Road, TRENTHAM",773,144.3589482,-37.3661175,"Kyneton-Trentham Rd, Trentham VIC 3458, Australia",2018-August-06,TRUE
Labuan Road,NUMURKAH,ABC,Apr-18,"Labuan Road, NUMURKAH",774,145.5315613,-36.0806688,"Labuan Rd, Numurkah VIC 3636, Australia",2018-August-06,TRUE
Lady Nelson Way,KEILOR DOWNS,C,Jul-18,"Lady Nelson Way, KEILOR DOWNS",775,144.7932604,-37.7122879,"Lady Nelson Way, Keilor Downs VIC 3038, Australia",2018-August-06,TRUE
Lake Tyers Beach Road,LAKE TYERS,BC,Apr-18,"Lake Tyers Beach Road, LAKE TYERS",776,148.0646117,-37.8606787,"Lake Tyers Beach Rd, Lake Tyers Beach VIC 3909, Australia",2018-August-06,TRUE
Lambert Street,ARARAT,C,Nov-17,"Lambert Street, ARARAT",777,142.9220445,-37.2721228,"Lambert St, Ararat VIC 3377, Australia",2018-August-06,TRUE
Lancaster Road,KYABRAM,BC,Apr-18,"Lancaster Road, KYABRAM",778,145.0981495,-36.3134693,"Lancaster Rd, Kyabram VIC 3620, Australia",2018-August-06,TRUE
Langs Road,ASCOT VALE,C,Dec-17,"Langs Road, ASCOT VALE",779,144.9095803,-37.7817375,"Langs Rd, Ascot Vale VIC 3032, Australia",2018-August-06,TRUE
Latrobe Road,MARYVALE,BC,Apr-18,"Latrobe Road, MARYVALE",780,146.4042723,-38.188828,"Latrobe Rd, Maryvale VIC 3840, Australia",2018-August-06,TRUE
Latrobe Road,MORWELL,ABC,Apr-18,"Latrobe Road, MORWELL",781,146.3984752,-38.2166169,"Latrobe Rd, Morwell VIC 3840, Australia",2018-August-06,TRUE
Lawn Road,SPRINGVALE,C,Apr-18,"Lawn Road, SPRINGVALE",782,145.1630806,-37.9604662,"Lawn Rd, Noble Park VIC 3174, Australia",2018-August-06,TRUE
Leonard Avenue,ST ALBANS,C,Jul-18,"Leonard Avenue, ST ALBANS",783,144.8128812,-37.7420115,"Leonard Ave, St Albans VIC 3021, Australia",2018-August-06,TRUE
Leppitt Road,PAKENHAM,B,May-18,"Leppitt Road, PAKENHAM",784,145.4488824,-38.0249491,"Leppitt Rd, Pakenham VIC 3810, Australia",2018-August-06,TRUE
Leslie Street,ST ALBANS,BC,Jul-18,"Leslie Street, ST ALBANS",785,144.8103377,-37.73359,"Leslie St, St Albans VIC 3021, Australia",2018-August-06,TRUE
Liberty Avenue,ROWVILLE,C,Jan-18,"Liberty Avenue, ROWVILLE",786,145.2413966,-37.9323036,"Liberty Ave, Rowville VIC 3178, Australia",2018-August-06,TRUE
Linsell Boulevard,CRANBOURNE EAST,BC,Jul-18,"Linsell Boulevard, CRANBOURNE EAST",787,145.3090072,-38.1007993,"Linsell Blvd, Cranbourne East VIC 3977, Australia",2018-August-06,TRUE
Liverpool Road,KILSYTH,AC,Mar-18,"Liverpool Road, KILSYTH",788,145.3177126,-37.82477,"Liverpool Rd, Kilsyth VIC 3137, Australia",2018-August-06,TRUE
Livingstone Street,AVENEL,BC,Apr-18,"Livingstone Street, AVENEL",789,145.2340557,-36.9026545,"Livingstone St, Avenel VIC 3664, Australia",2018-August-06,TRUE
Lloyd Street,MOE,ABC,Apr-18,"Lloyd Street, MOE",790,146.2498237,-38.1802176,"Lloyd St, Moe VIC 3825, Australia",2018-August-06,TRUE
Loddon Valley Highway,CAMPBELLS FOREST,C,May-18,"Loddon Valley Highway, CAMPBELLS FOREST",791,144.1428559,-36.6149196,"Loddon Valley Hwy, Campbells Forest VIC 3556, Australia",2018-August-06,TRUE
Loddon Valley Highway,CANARY ISLAND SOUTH,C,May-18,"Loddon Valley Highway, CANARY ISLAND SOUTH",792,143.9704592,-36.2836297,"Loddon Valley Hwy, Victoria, Australia",2018-August-06,TRUE
Loddon Valley Highway,DURHAM OX,C,May-18,"Loddon Valley Highway, DURHAM OX",793,143.9280059,-36.1154124,"Loddon Valley Hwy, Durham Ox VIC 3576, Australia",2018-August-06,TRUE
Loddon Valley Highway,JARKLIN,C,May-18,"Loddon Valley Highway, JARKLIN",794,143.9612369,-36.2499376,"Loddon Valley Hwy, Jarklin VIC 3517, Australia",2018-August-06,TRUE
Loddon Valley Highway,KERANG SOUTH,C,Apr-18,"Loddon Valley Highway, KERANG SOUTH",795,143.935684,-35.777822,"Loddon Valley Hwy, Kerang VIC 3579, Australia",2018-August-06,TRUE
Loddon Valley Highway,MACORNA,BC,Apr-18,"Loddon Valley Highway, MACORNA",796,143.9428379,-35.9173929,"Loddon Valley Hwy, Macorna VIC 3579, Australia",2018-August-06,TRUE
Loddon Valley Highway,YARRABERB,C,May-18,"Loddon Valley Highway, YARRABERB",797,144.073178,-36.5556271,"Loddon Valley Hwy, Yarraberb VIC 3516, Australia",2018-August-06,TRUE
Long Forest Road,LONG FOREST,BC,Apr-18,"Long Forest Road, LONG FOREST",798,144.506845,-37.6552358,"Long Forest Rd, Long Forest VIC 3340, Australia",2018-August-06,TRUE
Longford-Loch Sport Road,DUTSON,C,Apr-18,"Longford-Loch Sport Road, DUTSON",799,147.2322706,-38.1796986,"Longford-Loch Sport Rd, Dutson VIC 3851, Australia",2018-August-06,TRUE
Longford-Loch Sport Road,LONGFORD,ABC,Apr-18,"Longford-Loch Sport Road, LONGFORD",800,147.1903058,-38.1743487,"Longford-Loch Sport Rd, Longford VIC 3851, Australia",2018-August-06,TRUE
looker Road,MONTMORENCY (NGB),BCD,Jul-18,"looker Road, MONTMORENCY (NGB)",801,145.1244948,-37.7224165,"Looker Rd, Montmorency VIC 3094, Australia",2018-August-06,TRUE
Lower Dandenong Road,DINGLEY VILLAGE,C,Jun-18,"Lower Dandenong Road, DINGLEY VILLAGE",802,145.1269542,-37.9887894,"Lower Dandenong Rd, Dingley Village VIC 3172, Australia",2018-August-06,TRUE
Lower Dandenong Road,MORDIALLOC,AC,Jun-18,"Lower Dandenong Road, MORDIALLOC",803,145.1004268,-37.9855377,"Lower Dandenong Rd, Mordialloc VIC 3195, Australia",2018-August-06,TRUE
Lower Duneed Road,MOUNT DUNEED,ABC,Apr-18,"Lower Duneed Road, MOUNT DUNEED",804,144.3464077,-38.250084,"Lower Duneed Rd, Mount Duneed VIC 3217, Australia",2018-August-06,TRUE
Lower Heidelberg Road,EAGLEMONT,BC,Apr-18,"Lower Heidelberg Road, EAGLEMONT",805,145.0673379,-37.7649495,"Lower Heidelberg Rd, Eaglemont VIC 3084, Australia",2018-August-06,TRUE
Lower Heidelberg Road,IVANHOE,C,Apr-18,"Lower Heidelberg Road, IVANHOE",806,145.0529483,-37.7720621,"Lower Heidelberg Rd, Ivanhoe VIC 3079, Australia",2018-August-06,TRUE
Lower Plenty Road,ROSANNA,AC,Jul-18,"Lower Plenty Road, ROSANNA",807,145.0711112,-37.7394062,"Lower Plenty Rd, Rosanna VIC 3084, Australia",2018-August-06,TRUE
Lower Plenty Road,YALLAMBIE,BC,Apr-18,"Lower Plenty Road, YALLAMBIE",808,145.0923071,-37.7297696,"Lower Plenty Rd, Yallambie VIC 3085, Australia",2018-August-06,TRUE
Ludstone Street,HAMPTON,AC,Jun-18,"Ludstone Street, HAMPTON",809,145.0137996,-37.9342859,"Ludstone St, Hampton VIC 3188, Australia",2018-August-06,TRUE
Lum Road,WHEELERS HILL,BC,May-18,"Lum Road, WHEELERS HILL",810,145.1797311,-37.905697,"Lum Rd, Wheelers Hill VIC 3150, Australia",2018-August-06,TRUE
Lyall Road,BERWICK,B,Jul-18,"Lyall Road, BERWICK",811,145.3480325,-38.0276772,"Lyall Rd, Berwick VIC 3806, Australia",2018-August-06,TRUE
Lynnes Road,WATTLE BANK,BC,Apr-18,"Lynnes Road, WATTLE BANK",812,145.7065247,-38.5748118,"Lynnes Rd, Wattle Bank VIC 3995, Australia",2018-August-06,TRUE
Lyons  Street,WHITE HILLS (WBI),CD,Jun-18,"Lyons  Street, WHITE HILLS (WBI)",813,144.3121977,-36.7365934,"Lyons St, White Hills VIC 3550, Australia",2018-August-06,TRUE
Lyons Street,NEWSTEAD,C,May-18,"Lyons Street, NEWSTEAD",814,144.0692239,-37.1055285,"Lyons Street, Newstead VIC 3462, Australia",2018-August-06,TRUE
Lyrebird Drive,CARRUM DOWNS,ABC,May-18,"Lyrebird Drive, CARRUM DOWNS",815,145.1798448,-38.1080089,"Lyrebird Dr, Carrum Downs VIC 3201, Australia",2018-August-06,TRUE
MacArthur Street,SALE,C,T,"MacArthur Street, SALE",816,147.0701292,-38.1050494,"MacArthur St, Sale VIC 3850, Australia",2018-August-06,TRUE
Mackie Road,BENTLEIGH EAST,C,Jun-18,"Mackie Road, BENTLEIGH EAST",817,145.0747266,-37.91561,"Mackie Rd, Bentleigh East VIC 3165, Australia",2018-August-06,TRUE
Madeira Packet Road,PORTLAND,C,May-18,"Madeira Packet Road, PORTLAND",818,141.5997599,-38.3731551,"Madeira Packet Rd, Portland VIC 3305, Australia",2018-August-06,TRUE
Maffra-Sale Road,MAFFRA,B,Apr-18,"Maffra-Sale Road, MAFFRA",819,147.0012689,-37.9981918,"Maffra-Sale Rd, Maffra VIC 3860, Australia",2018-August-06,TRUE
Maginness Street,BENALLA,C,Apr-18,"Maginness Street, BENALLA",820,145.9815506,-36.5429192,"Maginness St, Benalla VIC 3672, Australia",2018-August-06,TRUE
Mahoneys Road,RESERVOIR,AC,Apr-18,"Mahoneys Road, RESERVOIR",821,144.9909558,-37.6928938,"Mahoneys Rd, Reservoir VIC 3073, Australia",2018-August-06,TRUE
Maiden Gully Road,MAIDEN GULLY,BC,May-18,"Maiden Gully Road, MAIDEN GULLY",822,144.2293002,-36.737702,"Maiden Gully Rd, Maiden Gully VIC 3551, Australia",2018-August-06,TRUE
Maidstone Street,ALTONA,BC,Apr-18,"Maidstone Street, ALTONA",823,144.8111145,-37.8609016,"Maidstone St, Altona VIC 3018, Australia",2018-August-06,TRUE
Main Neerim Road,NEERIM JUNCTION,BC,Apr-18,"Main Neerim Road, NEERIM JUNCTION",824,145.962841,-37.9208494,"Main Neerim Rd, Neerim Junction VIC 3832, Australia",2018-August-06,TRUE
Main Neerim Road,NEERIM SOUTH,ABC,Apr-18,"Main Neerim Road, NEERIM SOUTH",825,145.9554078,-38.0102047,"Main Neerim Rd, Neerim South VIC 3831, Australia",2018-August-06,TRUE
Main Road,ELTHAM,C,Apr-18,"Main Road, ELTHAM",826,145.1486722,-37.713524,"Main Rd, Eltham VIC 3095, Australia",2018-August-06,TRUE
Main Road,MONTMORENCY,AC,Apr-18,"Main Road, MONTMORENCY",827,145.124998,-37.7270493,"Main Rd, Montmorency VIC 3094, Australia",2018-August-06,TRUE
Main Road,PAYNESVILLE,C,Apr-18,"Main Road, PAYNESVILLE",828,147.7193917,-37.9136267,"Main Rd, Paynesville VIC 3880, Australia",2018-August-06,TRUE
Main Road,SEASPRAY,C,Apr-18,"Main Road, SEASPRAY",829,147.1893156,-38.3700953,"Main Rd, Seaspray VIC 3851, Australia",2018-August-06,TRUE
Main Road East,ST ALBANS,BC,Jul-18,"Main Road East, ST ALBANS",830,144.8154277,-37.7460919,"Main Rd E, St Albans VIC 3021, Australia",2018-August-06,TRUE
Main Road West,ST ALBANS,C,Jul-18,"Main Road West, ST ALBANS",831,144.7893717,-37.7430418,"Main Rd W, St Albans VIC 3021, Australia",2018-August-06,TRUE
Major Road,FAWKNER,ABC,Dec-17,"Major Road, FAWKNER",832,144.9683821,-37.7074081,"Major Rd, Fawkner VIC 3060, Australia",2018-August-06,TRUE
Malcolm Street,MANSFIELD,ABC,Apr-18,"Malcolm Street, MANSFIELD",833,146.0722501,-37.0563204,"Malcolm St, Mansfield VIC 3722, Australia",2018-August-06,TRUE
Mallee Highway,BOINKA,C,Jun-18,"Mallee Highway, BOINKA",834,141.5666789,-35.1982335,"Mallee Hwy, Boinka VIC 3490, Australia",2018-August-06,TRUE
Mallee Highway,BOORONGIE NORTH,C,Jun-18,"Mallee Highway, BOORONGIE NORTH",835,141.4114978,-35.2292392,"Mallee Hwy, Australia",2018-August-06,TRUE
Mallee Highway,CARINA,C,Jun-18,"Mallee Highway, CARINA",836,141.4114978,-35.2292392,"Mallee Hwy, Australia",2018-August-06,TRUE
Mallee Highway,COWANGIE,C,Jun-18,"Mallee Highway, COWANGIE",837,141.3649568,-35.2371715,"Mallee Hwy, Cowangie VIC 3506, Australia",2018-August-06,TRUE
Mallee Highway,KULWIN,C,Jun-18,"Mallee Highway, KULWIN",838,142.5819852,-35.0388737,"Mallee Hwy, Kulwin VIC 3490, Australia",2018-August-06,TRUE
Mallee Highway,MANANGATANG,C,Apr-18,"Mallee Highway, MANANGATANG",839,142.9052069,-35.0545251,"Mallee Hwy, Manangatang VIC 3546, Australia",2018-August-06,TRUE
Mallee Highway,PANITYA,C,Jun-18,"Mallee Highway, PANITYA",840,141.036152,-35.238103,"Mallee Hwy, Panitya VIC 3512, Australia",2018-August-06,TRUE
Mallee Highway,PIANGIL,C,Apr-18,"Mallee Highway, PIANGIL",841,143.2152674,-35.0571378,"Mallee Hwy, Piangil VIC 3597, Australia",2018-August-06,TRUE
Mallee Highway,PIANGIL WEST,C,Apr-18,"Mallee Highway, PIANGIL WEST",842,143.2152674,-35.0571378,"Mallee Hwy, Piangil VIC 3597, Australia",2018-August-06,TRUE
Mallee Highway,UNDERBOOL,C,Jun-18,"Mallee Highway, UNDERBOOL",843,141.8206145,-35.1706969,"Mallee Hwy, Underbool VIC 3509, Australia",2018-August-06,TRUE
Mallee Highway,WAGANT,C,Jun-18,"Mallee Highway, WAGANT",844,141.4114978,-35.2292392,"Mallee Hwy, Australia",2018-August-06,TRUE
Mallee Highway,WALPEUP,C,Jun-18,"Mallee Highway, WALPEUP",845,142.0391557,-35.1276342,"Mallee Hwy, Walpeup VIC 3507, Australia",2018-August-06,TRUE
Maltravers Road,EAGLEMONT,C,Apr-18,"Maltravers Road, EAGLEMONT",846,145.0572042,-37.7691498,"Maltravers Rd, Eaglemont VIC 3084, Australia",2018-August-06,TRUE
Malvern Road,GLEN IRIS,C,Jul-18,"Malvern Road, GLEN IRIS",847,145.0551018,-37.857405,"Malvern Rd, Glen Iris VIC 3146, Australia",2018-August-06,TRUE
Malvern Road,TOORAK,C,Jul-18,"Malvern Road, TOORAK",848,145.0182784,-37.8500813,"Malvern Rd, Toorak VIC 3142, Australia",2018-August-06,TRUE
Manks Road,CLYDE,B,Jul-18,"Manks Road, CLYDE",849,145.3595917,-38.1674878,"Manks Rd, Clyde VIC 3978, Australia",2018-August-06,TRUE
Mansfield-Whitfield Road,BRIDGE CREEK,C,Apr-18,"Mansfield-Whitfield Road, BRIDGE CREEK",850,146.259655,-36.9179954,"Mansfield-Whitfield Rd, Victoria, Australia",2018-August-06,TRUE
Mansfield-Whitfield Road,TOLMIE,ABC,Apr-18,"Mansfield-Whitfield Road, TOLMIE",851,146.25474,-36.9197594,"Mansfield-Whitfield Rd, Tolmie VIC 3723, Australia",2018-August-06,TRUE
Mansfield-Woods Point Road,HOWQUA,C,Apr-18,"Mansfield-Woods Point Road, HOWQUA",852,146.160859,-37.2168453,"Mansfield-Woods Point Rd, Howqua VIC 3723, Australia",2018-August-06,TRUE
Mansfield-Woods Point Road,MANSFIELD,C,Apr-18,"Mansfield-Woods Point Road, MANSFIELD",853,146.2042966,-37.4487775,"Mansfield-Woods Point Rd, Victoria 3723, Australia",2018-August-06,TRUE
Mansfield-Woods Point Road,PIRIES,AC,Apr-18,"Mansfield-Woods Point Road, PIRIES",854,146.1432781,-37.183944,"Mansfield-Woods Point Rd, Piries VIC 3723, Australia",2018-August-06,TRUE
Manuka Road,BERWICK,B,Jul-18,"Manuka Road, BERWICK",855,145.3654757,-38.0326332,"Manuka Rd, Berwick VIC 3806, Australia",2018-August-06,TRUE
Maribyrnong Road,ASCOT VALE,BC,Dec-17,"Maribyrnong Road, ASCOT VALE",856,144.9146202,-37.7715655,"Maribyrnong Rd, Ascot Vale VIC 3032, Australia",2018-August-06,TRUE
Marine Drive,SAFETY BEACH,C,May-18,"Marine Drive, SAFETY BEACH",857,144.9886583,-38.317045,"Marine Dr, Safety Beach VIC 3936, Australia",2018-August-06,TRUE
Marine Parade,ELWOOD,BC,Jul-18,"Marine Parade, ELWOOD",858,144.9770526,-37.8762505,"Marine Parade, Elwood VIC 3184, Australia",2018-August-06,TRUE
Market Road,WERRIBEE,C,Feb-18,"Market Road, WERRIBEE",859,144.6569884,-37.8939596,"Market Rd, Werribee VIC 3030, Australia",2018-August-06,TRUE
Marlo Road,MARLO,BC,Apr-18,"Marlo Road, MARLO",860,148.5083493,-37.7405364,"Marlo Rd, Victoria 3888, Australia",2018-August-06,TRUE
Maroondah Highway,BONNIE DOON,AC,Apr-18,"Maroondah Highway, BONNIE DOON",861,145.8815259,-37.0242447,"Maroondah Hwy, Bonnie Doon VIC 3720, Australia",2018-August-06,TRUE
Maroondah Highway,BUXTON,AC,Apr-18,"Maroondah Highway, BUXTON",862,145.6990568,-37.4370983,"Maroondah Hwy, Buxton VIC 3711, Australia",2018-August-06,TRUE
Maroondah Highway,COLDSTREAM,ABC,Mar-18,"Maroondah Highway, COLDSTREAM",863,145.4169554,-37.7006344,"Maroondah Hwy, Coldstream VIC 3770, Australia",2018-August-06,TRUE
Maroondah Highway,HEALESVILLE,ABC,Mar-18,"Maroondah Highway, HEALESVILLE",864,145.5398471,-37.6463628,"Maroondah Hwy, Healesville VIC 3777, Australia",2018-August-06,TRUE
Maroondah Highway,KANUMBRA,C,Apr-18,"Maroondah Highway, KANUMBRA",865,145.6705152,-37.0477857,"Maroondah Hwy, Kanumbra VIC 3719, Australia",2018-August-06,TRUE
Maroondah Highway,LILYDALE,ABC,Mar-18,"Maroondah Highway, LILYDALE",866,145.3639561,-37.7539375,"Maroondah Hwy, Lilydale VIC 3140, Australia",2018-August-06,TRUE
Maroondah Highway,MAINDAMPLE,AC,Apr-18,"Maroondah Highway, MAINDAMPLE",867,145.9591297,-37.0272054,"Maroondah Hwy, Maindample VIC 3723, Australia",2018-August-06,TRUE
Maroondah Highway,MANSFIELD,C,Apr-18,"Maroondah Highway, MANSFIELD",868,146.0186697,-37.03851,"Maroondah Hwy, Mansfield VIC 3722, Australia",2018-August-06,TRUE
Maroondah Highway,MERTON,ABC,Apr-18,"Maroondah Highway, MERTON",869,145.7456084,-36.9999604,"Maroondah Hwy, Merton VIC 3715, Australia",2018-August-06,TRUE
Maroondah Highway,NARBETHONG,C,Apr-18,"Maroondah Highway, NARBETHONG",870,145.6598757,-37.5504431,"Maroondah Hwy, Narbethong VIC 3778, Australia",2018-August-06,TRUE
Maroondah Highway,TAGGERTY,C,Apr-18,"Maroondah Highway, TAGGERTY",871,145.7128726,-37.3496585,"Maroondah Hwy, Taggerty VIC 3714, Australia",2018-August-06,TRUE
Maroondah highway,WOODFIELD,C,Apr-18,"Maroondah highway, WOODFIELD",872,145.6969399,-37.4405332,"Maroondah Hwy, Victoria, Australia",2018-August-06,TRUE
Maroondah Highway,YARCK,A,Apr-18,"Maroondah Highway, YARCK",873,145.6323786,-37.0842426,"Maroondah Hwy, Yarck VIC 3719, Australia",2018-August-06,TRUE
Maroondah Link Highway,CATHKIN,C,Apr-18,"Maroondah Link Highway, CATHKIN",874,145.5895091,-37.1401676,"Maroondah Link Hwy, Cathkin VIC 3714, Australia",2018-August-06,TRUE
Maryborough Road,ASCOT,C,Jul-18,"Maryborough Road, ASCOT",875,143.8032698,-37.3972419,"Ballarat-Maryborough Rd, Ascot VIC 3364, Australia",2018-August-06,TRUE
Marysville Road,GRANTON,C,Apr-18,"Marysville Road, GRANTON",876,145.7078224,-37.5396055,"Granton Rd, Marysville VIC 3779, Australia",2018-August-06,TRUE
Maryvale Road,MORWELL,BC,Apr-18,"Maryvale Road, MORWELL",877,146.4162295,-38.2212394,"Maryvale Rd, Morwell VIC 3840, Australia",2018-August-06,TRUE
Mascoma Street,STRATHMORE,BC,Dec-17,"Mascoma Street, STRATHMORE",878,144.9131525,-37.7231904,"Mascoma St, Strathmore VIC 3041, Australia",2018-August-06,TRUE
Masons Road,MERNDA,ABC,Apr-18,"Masons Road, MERNDA",879,145.0764418,-37.5836632,"Masons Rd, Mernda VIC 3754, Australia",2018-August-06,TRUE
McCallums Creek Road,CRAIGIE,ABC,May-18,"McCallums Creek Road, CRAIGIE",880,143.7760765,-37.1182928,"McCallums Creek Road, Craigie VIC 3465, Australia",2018-August-06,TRUE
McClelland Drive,LANGWARRIN,ABC,May-18,"McClelland Drive, LANGWARRIN",881,145.1720912,-38.1528283,"McClelland Dr, Langwarrin VIC 3910, Australia",2018-August-06,TRUE
McCormicks Road,CARRUM DOWNS,ABC,May-18,"McCormicks Road, CARRUM DOWNS",882,145.1984007,-38.0952064,"McCormicks Rd, Carrum Downs VIC 3201, Australia",2018-August-06,TRUE
McCormicks Road,SKYE,ABC,May-18,"McCormicks Road, SKYE",883,145.1981683,-38.0962219,"McCormicks Rd, Skye VIC 3977, Australia",2018-August-06,TRUE
McCurdy Road,HERNE HILL,BC,Apr-18,"McCurdy Road, HERNE HILL",884,144.3189356,-38.1353565,"McCurdy Rd, Herne Hill VIC 3218, Australia",2018-August-06,TRUE
McIvor Highway,DERRINAL,C,May-18,"McIvor Highway, DERRINAL",885,144.6486083,-36.8809945,"McIvor Hwy, Derrinal VIC 3523, Australia",2018-August-06,TRUE
McIvor Highway,KNOWSLEY,C,May-18,"McIvor Highway, KNOWSLEY",886,144.590479,-36.8288297,"McIvor Hwy, Knowsley VIC 3523, Australia",2018-August-06,TRUE
McKenzie Street,WONTHAGGI,C,Nov-17,"McKenzie Street, WONTHAGGI",887,145.5932033,-38.6027652,"McKenzie St, Wonthaggi VIC 3995, Australia",2018-August-06,TRUE
McMahens Road,BANGHOLME,C,Apr-18,"McMahens Road, BANGHOLME",888,145.1702688,-38.0453958,"Mcmahens Rd, Bangholme VIC 3175, Australia",2018-August-06,TRUE
McMahons Road,FRANKSTON,C,May-18,"McMahons Road, FRANKSTON",889,145.1372082,-38.1425348,"Mcmahons Rd, Frankston VIC 3199, Australia",2018-August-06,TRUE
Meadowvale  Drive,GROVEDALE,BC,Jun-18,"Meadowvale  Drive, GROVEDALE",890,144.3182461,-38.2032967,"Meadowvale Dr, Grovedale VIC 3216, Australia",2018-August-06,TRUE
Medway Road,CRAIGIEBURN,C,Dec-17,"Medway Road, CRAIGIEBURN",891,144.9321665,-37.5917574,"Medway Rd, Craigieburn VIC 3064, Australia",2018-August-06,TRUE
Meeniyan-Promontory Road,BUFFALO,BC,Apr-18,"Meeniyan-Promontory Road, BUFFALO",892,146.0198647,-38.6527778,"Meeniyan-Promontory Rd, Buffalo VIC 3958, Australia",2018-August-06,TRUE
Melaluka Road,LEOPOLD,ABC,Apr-18,"Melaluka Road, LEOPOLD",893,144.453584,-38.1960836,"Melaluka Rd, Leopold VIC 3224, Australia",2018-August-06,TRUE
Melaluka Road,MOOLAP,ABC,Apr-18,"Melaluka Road, MOOLAP",894,144.453584,-38.1960836,"Melaluka Rd, Leopold VIC 3224, Australia",2018-August-06,TRUE
Melba Highway,DEVLIN BRIDGE,C,May-18,"Melba Highway, DEVLIN BRIDGE",895,145.4737573,-37.3826322,"Melba Highway & Devlins Bridge, Glenburn VIC 3717, Australia",2018-August-06,TRUE
Melba Highway,DIXONS CREEK,ABC,Mar-18,"Melba Highway, DIXONS CREEK",896,145.4108807,-37.583951,"Melba Hwy, Dixons Creek VIC 3775, Australia",2018-August-06,TRUE
Melba Highway,GLENBURN,C,May-18,"Melba Highway, GLENBURN",897,145.4433148,-37.4143443,"Melba Hwy, Glenburn VIC 3717, Australia",2018-August-06,TRUE
Melba Highway,LIMESTONE,AC,Apr-18,"Melba Highway, LIMESTONE",898,145.4216473,-37.4651701,"Melba Hwy, Victoria, Australia",2018-August-06,TRUE
Melba Highway,YARRA GLEN,ABC,Mar-18,"Melba Highway, YARRA GLEN",899,145.3934485,-37.6473328,"Melba Hwy, Yarra Glen VIC 3775, Australia",2018-August-06,TRUE
Melbourne Road,BLAIRGOWRIE,C,Jul-18,"Melbourne Road, BLAIRGOWRIE",900,144.7689854,-38.3671423,"Melbourne Rd, Blairgowrie VIC 3942, Australia",2018-August-06,TRUE
Melbourne Road,RYE,C,May-18,"Melbourne Road, RYE",901,144.7999738,-38.378396,"Melbourne Rd, Rye VIC 3941, Australia",2018-August-06,TRUE
Melbourne Road,SORRENTO,C,May-18,"Melbourne Road, SORRENTO",902,144.7472662,-38.3512811,"Melbourne Rd, Sorrento VIC 3943, Australia",2018-August-06,TRUE
