LOCATION,SUBURB,Reason Code,Audit Date,full_location,row_index,longitude,latitude,corrected address,extracted_on,inside_victoria_bounds
South Gippsland Highway,WELSHPOOL,C,Jul-18,"South Gippsland Highway, WELSHPOOL",1385,146.4423782,-38.6644043,"S Gippsland Hwy, Welshpool VIC 3966, Australia",2018-August-06,TRUE
South Gippsland Highway,YARRAM,AC,Apr-18,"South Gippsland Highway, YARRAM",1386,146.7514703,-38.5532269,"S Gippsland Hwy, Yarram VIC 3971, Australia",2018-August-06,TRUE
South Street,HADFIELD,BC,Dec-17,"South Street, HADFIELD",1387,144.9444197,-37.7147685,"South St, Hadfield VIC 3046, Australia",2018-August-06,TRUE
Southern Road,HEIDELBERG HEIGHTS,C,Apr-18,"Southern Road, HEIDELBERG HEIGHTS",1388,145.05184,-37.7425398,"Southern Rd, Heidelberg Heights VIC 3081, Australia",2018-August-06,TRUE
Spring Road,DINGLEY VILLAGE,C,Jun-18,"Spring Road, DINGLEY VILLAGE",1389,145.1348612,-37.9769431,"Spring Rd, Dingley Village VIC 3172, Australia",2018-August-06,TRUE
Spring Road,SPRINGVALE SOUTH (SSV),CD,Apr-18,"Spring Road, SPRINGVALE SOUTH (SSV)",1390,145.1377692,-37.9685216,"Spring Rd, Springvale South VIC 3172, Australia",2018-August-06,TRUE
Springfield Road,BLACKBURN NORTH,C,May-18,"Springfield Road, BLACKBURN NORTH",1391,145.1549536,-37.8107187,"Springfield Rd, Blackburn North VIC 3130, Australia",2018-August-06,TRUE
Springfield Road,MITCHAM,C,May-18,"Springfield Road, MITCHAM",1392,145.1873927,-37.8081067,"Springfield Rd, Mitcham VIC 3132, Australia",2018-August-06,TRUE
Springs Road,CLARINDA,AC,Jun-18,"Springs Road, CLARINDA",1393,145.1084876,-37.9346966,"Springs Rd, Victoria 3169, Australia",2018-August-06,TRUE
Springvale Road,KEYSBOROUGH,AC,Jun-18,"Springvale Road, KEYSBOROUGH",1394,145.1425288,-38.0011833,"Springvale Rd, Keysborough VIC 3173, Australia",2018-August-06,TRUE
Springvale Road,MULGRAVE,BC,May-18,"Springvale Road, MULGRAVE",1395,145.1584559,-37.9213919,"Springvale Rd, Mulgrave VIC 3170, Australia",2018-August-06,TRUE
Springvale Road,NUNAWADING,BC,May-18,"Springvale Road, NUNAWADING",1396,145.1763855,-37.816771,"Springvale Rd, Nunawading VIC 3131, Australia",2018-August-06,TRUE
St Albans Road,ST ALBANS,C,Jul-18,"St Albans Road, ST ALBANS",1397,144.8091884,-37.7565399,"St Albans Rd, St Albans VIC 3021, Australia",2018-August-06,TRUE
St Arnaud-Wycheproof Road,WOOROONOOK,C,Apr-18,"St Arnaud-Wycheproof Road, WOOROONOOK",1398,143.207018,-36.2807304,"St Arnaud-Wycheproof Rd, Wooroonook VIC 3525, Australia",2018-August-06,TRUE
