row_index,location_long,location_short,longitude,latitude,lga_code
203,"CityLink, Burnley Tunnel approximately 2140 metres after tunnel entrance, Cremorne",CityLink Burnley Tunnel Cremorne,144.9885893,-37.82524314,24600
204,"Peninsula Link Freeway and Eramosa Road West Bridge Southbound, Moorooduc",Peninsula Link Moorooduc,145.129323,-38.216401,25340
205,"Peninsula Link Freeway and Skye Road Bridge Southbound, Frankston",Peninsula Link Frankston,145.173254,-38.141394,22170
206,"Peninsula Link Freeway and Skye Road Bridge Northbound, Frankston",Peninsula Link Frankston,145.172879,-38.141341,22170
207,"Glen Iris Road at the intersection of Glen Iris Road and Toorak Road, Camberwell",Camberwell,145.0685915,-37.84722919,21110
208,"Somerville Road at the intersection of Somerville Road and Geelong Road, Yarraville",Yarraville,144.8698962,-37.81131391,24330
209,"EastLink Southbound, Wellington Road Bridge, Rowville",EastLink Rowville,145.2132833,-37.92557277,23670
210,"Albert Street at the intersection of Albert Street and Gower Street, Preston",Preston,145.0225353,-37.74265704,21890
211,"EastLink Northbound, Dandenong Bypass Bridge, Keysborough",EastLink Keysborough,145.1912999,-38.00115934,22670
212,"Gordon Street at the intersection of Gordon Street and Barkly Street, Footscray",Footscray,144.8881298,-37.79870033,24330
213,"Thomas Street at the intersection of Thomas Street and North Road, Brighton East",Brighton East,145.0259162,-37.90233179,20910
214,"Station Street at the intersection of Station Street and Thames Street, Box Hill",Box Hill,145.1247114,-37.81379738,26980
215,"St Georges Road at the intersection of St Georges Road and Arthurton Road, Northcote",Northcote,144.9916068,-37.76832311,21890
216,"Peel Street at the intersection of Peel Street and Victoria Street, West Melbourne",West Melbourne,144.9558368,-37.80600977,24600
217,"Heatherton Road at the intersection of Heatherton Road and Corrigan Road, Noble Park",Noble Park,145.1686835,-37.96448597,22670
218,"EastLink Southbound, Dandenong Bypass Bridge, Keysborough",EastLink Keysborough,145.1917398,-38.00121852,22670
219,"Punt Road at the intersection of Punt Road and Toorak Road, South Yarra",South Yarra,144.9864516,-37.83844213,24600
220,"Geelong Street at the intersection of Geelong Street and Geelong Road, Kingsville",Kingsville,144.8828767,-37.80418407,24330
221,"Boronia Road at the intersection of Boronia Road and Wantirna Road, Wantirna",Wantirna,145.2274051,-37.84773434,23670
222,"Dandenong Road at the intersection of Dandenong Road and Orrong Road, Caulfield North",Caulfield North,145.0106773,-37.86036601,22310
223,"Lonsdale Street at the intersection of Lonsdale Street and Webster Street, Dandenong",Dandenong,145.2160245,-37.99295398,22670
224,"Barry Road at the intersection of Barry Road and King Street, Dallas",Dallas,144.9425465,-37.66604279,23270
225,"Denmark Street at the intersection of Denmark Street and Barkers Road, Kew",Kew,145.0279346,-37.81353357,21110
226,"Punt Road at the intersection of Punt Road and High Street, Prahran",Prahran,144.9842629,-37.85055015,26350
227,"Pascoe Vale Road at the intersection of Pascoe Vale Road and Reservoir Drive, Coolaroo",Coolaroo,144.929,-37.64362055,23270
228,"Ballarat Road at the intersection of Ballarat Road and Ashley Street, Maidstone",Maidstone,144.8655953,-37.78154287,24330
229,"Glenferrie Road at the intersection of Glenferrie Road and Burwood Road, Hawthorn",Hawthorn,145.0352812,-37.82274311,21110
230,"CityLink, Domain Tunnel, Southbank, approximately 1195 after tunnel entrance, Melbourne",CityLink Domain Tunnel Melbourne,144.9711657,-37.8251414,24600
231,"Hotham Street at the intersection of Hotham Street and Balaclava Road, St Kilda East",St Kilda East,144.9993181,-37.869411,25900
232,"South Gippsland Highway at the intersection of South Gippsland Highway and Thompsons Road, Cranbourne North",Cranbourne North,145.2764279,-38.08208573,21610
233,"CityLink, Domain Tunnel approximately 725m after tunnel entrance, Melbourne",CityLink Domain Tunnel Melbourne,144.977088,-37.8255482,24600
234,"Lincoln Causeway at the intersection of Lincoln Causeway and Hume Highway ramp, Wodonga",Wodonga,146.8938696,-36.11026441,27170
235,"At the intersection of Thompson Road and Separation Street, Bell Park",Bell Park,144.343338,-38.110911,22750
236,"Ballarat Road at the intersection of Ballarat Road and Churchill Avenue, Maidstone",Maidstone,144.8691049,-37.78297484,24330
237,"Kooyong Road at the intersection of Kooyong Road and Dandenong Road, Armadale",Armadale,145.019342,-37.862464,26350
238,"Canterbury Road at the intersection of Canterbury Road and Station Street, Box Hill",Box Hill,145.1216698,-37.82868797,26980
